protein1 protein2 combined_score
362663.ECP_0982 362663.ECP_2671 362
362663.ECP_0983 362663.ECP_0745 368
362663.ECP_0983 362663.ECP_0744 979
362663.ECP_0983 362663.ECP_0492 942
362663.ECP_0983 362663.ECP_0491 942
362663.ECP_0983 362663.ECP_0984 989
362663.ECP_0983 362663.ECP_0743 959
362663.ECP_0983 362663.ECP_3316 217
362663.ECP_0984 362663.ECP_0743 963
362663.ECP_0984 362663.ECP_0983 989
362663.ECP_0984 362663.ECP_0745 428
362663.ECP_0985 362663.ECP_1200 613
362663.ECP_0985 362663.ECP_1651 929
362663.ECP_0986 362663.ECP_3972 338
362663.ECP_0986 362663.ECP_1710 472
362663.ECP_0986 362663.ECP_2109 472
362663.ECP_0986 362663.ECP_0811 338
362663.ECP_0986 362663.ECP_4200 218
362663.ECP_0986 362663.ECP_4417 182
362663.ECP_0986 362663.ECP_2531 472
362663.ECP_0986 362663.ECP_1418 601
362663.ECP_0986 362663.ECP_3383 223
362663.ECP_0986 362663.ECP_3250 338
362663.ECP_0986 362663.ECP_4424 181
362663.ECP_0986 362663.ECP_0158 601
362663.ECP_0986 362663.ECP_1397 338
362663.ECP_0986 362663.ECP_2578 338
362663.ECP_0986 362663.ECP_0014 472
362663.ECP_0986 362663.ECP_4201 217
362663.ECP_0986 362663.ECP_4523 521
362663.ECP_0987 362663.ECP_4523 521
362663.ECP_0987 362663.ECP_4200 219
362663.ECP_0987 362663.ECP_1418 601
362663.ECP_0987 362663.ECP_1397 338
362663.ECP_0987 362663.ECP_0014 472
362663.ECP_0987 362663.ECP_2578 338
362663.ECP_0987 362663.ECP_0501 152
362663.ECP_0987 362663.ECP_4417 185
362663.ECP_0987 362663.ECP_1284 228
362663.ECP_0987 362663.ECP_2109 472
362663.ECP_0987 362663.ECP_0811 338
362663.ECP_0987 362663.ECP_3383 237
362663.ECP_0987 362663.ECP_0158 601
362663.ECP_0987 362663.ECP_4424 197
362663.ECP_0987 362663.ECP_4213 152
362663.ECP_0987 362663.ECP_3250 338
362663.ECP_0987 362663.ECP_3659 380
362663.ECP_0987 362663.ECP_4201 219
362663.ECP_0987 362663.ECP_1710 472
362663.ECP_0987 362663.ECP_2531 472
362663.ECP_0987 362663.ECP_3972 338
362663.ECP_0990 362663.ECP_2249 471
362663.ECP_0990 362663.ECP_2872 252
362663.ECP_0991 362663.ECP_4477 195
362663.ECP_0991 362663.ECP_0534 185
362663.ECP_0991 362663.ECP_1485 726
362663.ECP_0991 362663.ECP_2349 171
362663.ECP_0991 362663.ECP_2260 491
362663.ECP_0991 362663.ECP_4121 226
362663.ECP_0991 362663.ECP_3298 888
362663.ECP_0991 362663.ECP_3923 177
362663.ECP_0991 362663.ECP_2652 443
362663.ECP_0991 362663.ECP_2163 224
362663.ECP_0991 362663.ECP_0444 350
362663.ECP_0991 362663.ECP_1125 971
362663.ECP_0991 362663.ECP_2395 895
362663.ECP_0991 362663.ECP_1356 206
362663.ECP_0991 362663.ECP_1180 185
362663.ECP_0991 362663.ECP_1205 173
362663.ECP_0991 362663.ECP_0602 971
362663.ECP_0991 362663.ECP_4564 226
362663.ECP_0991 362663.ECP_1828 774
362663.ECP_0991 362663.ECP_1826 761
362663.ECP_0991 362663.ECP_1758 173
362663.ECP_0991 362663.ECP_0014 199
362663.ECP_0991 362663.ECP_2119 971
362663.ECP_0991 362663.ECP_1978 188
362663.ECP_0991 362663.ECP_1024 350
362663.ECP_0991 362663.ECP_4683 810
362663.ECP_0991 362663.ECP_4356 971
362663.ECP_0991 362663.ECP_0712 971
362663.ECP_0991 362663.ECP_4427 206
362663.ECP_0991 362663.ECP_0848 205
362663.ECP_0991 362663.ECP_1970 256
362663.ECP_0991 362663.ECP_0894 247
362663.ECP_0991 362663.ECP_1831 880
362663.ECP_0991 362663.ECP_1357 376
362663.ECP_0991 362663.ECP_1727 283
362663.ECP_0991 362663.ECP_2261 641
362663.ECP_0991 362663.ECP_3346 195
362663.ECP_0991 362663.ECP_2233 491
362663.ECP_0991 362663.ECP_1394 350
362663.ECP_0991 362663.ECP_3951 195
362663.ECP_0991 362663.ECP_2767 964
362663.ECP_0991 362663.ECP_4036 283
362663.ECP_0991 362663.ECP_1832 792
362663.ECP_0991 362663.ECP_0397 283
362663.ECP_0991 362663.ECP_1829 811
362663.ECP_0991 362663.ECP_1879 523
362663.ECP_0991 362663.ECP_1889 350
362663.ECP_0991 362663.ECP_1506 205
362663.ECP_0991 362663.ECP_1734 205
362663.ECP_0991 362663.ECP_2409 229
362663.ECP_0991 362663.ECP_4059 991
362663.ECP_0991 362663.ECP_4217 451
362663.ECP_0991 362663.ECP_3590 526
362663.ECP_0991 362663.ECP_1553 226
362663.ECP_0991 362663.ECP_2348 171
362663.ECP_0991 362663.ECP_2259 797
362663.ECP_0991 362663.ECP_0994 290
362663.ECP_0991 362663.ECP_0825 171
362663.ECP_0991 362663.ECP_3162 810
362663.ECP_0991 362663.ECP_0992 861
362663.ECP_0991 362663.ECP_4080 391
362663.ECP_0991 362663.ECP_0300 173
362663.ECP_0991 362663.ECP_1358 266
362663.ECP_0991 362663.ECP_0133 365
362663.ECP_0991 362663.ECP_0526 242
362663.ECP_0991 362663.ECP_2109 199
362663.ECP_0991 362663.ECP_2189 195
362663.ECP_0991 362663.ECP_4281 451
362663.ECP_0991 362663.ECP_2107 654
362663.ECP_0991 362663.ECP_4276 526
362663.ECP_0991 362663.ECP_2557 405
362663.ECP_0991 362663.ECP_1282 971
362663.ECP_0991 362663.ECP_0036 991
362663.ECP_0991 362663.ECP_2407 224
362663.ECP_0991 362663.ECP_1709 166
362663.ECP_0991 362663.ECP_4275 564
362663.ECP_0991 362663.ECP_1979 288
362663.ECP_0991 362663.ECP_2558 226
362663.ECP_0991 362663.ECP_0740 283
362663.ECP_0991 362663.ECP_4331 195
362663.ECP_0991 362663.ECP_0459 532
362663.ECP_0991 362663.ECP_1741 572
362663.ECP_0991 362663.ECP_4368 278
362663.ECP_0991 362663.ECP_4696 491
362663.ECP_0991 362663.ECP_4787 971
362663.ECP_0991 362663.ECP_2505 173
362663.ECP_0991 362663.ECP_3112 972
362663.ECP_0991 362663.ECP_2575 221
362663.ECP_0991 362663.ECP_2605 205
362663.ECP_0991 362663.ECP_0552 181
362663.ECP_0991 362663.ECP_1842 195
362663.ECP_0991 362663.ECP_3113 393
362663.ECP_0991 362663.ECP_1818 290
362663.ECP_0991 362663.ECP_3491 971
362663.ECP_0991 362663.ECP_1885 491
362663.ECP_0991 362663.ECP_2419 570
362663.ECP_0991 362663.ECP_2965 173
362663.ECP_0991 362663.ECP_4210 224
362663.ECP_0991 362663.ECP_1270 491
362663.ECP_0991 362663.ECP_1552 971
362663.ECP_0991 362663.ECP_1901 226
362663.ECP_0991 362663.ECP_2262 404
362663.ECP_0991 362663.ECP_4035 283
362663.ECP_0991 362663.ECP_2263 451
362663.ECP_0991 362663.ECP_1199 181
362663.ECP_0991 362663.ECP_1255 606
362663.ECP_0991 362663.ECP_1981 491
362663.ECP_0991 362663.ECP_4784 971
362663.ECP_0991 362663.ECP_1124 232
362663.ECP_0991 362663.ECP_4278 283
362663.ECP_0991 362663.ECP_2556 451
362663.ECP_0991 362663.ECP_0458 971
362663.ECP_0991 362663.ECP_2379 991
362663.ECP_0991 362663.ECP_2916 283
362663.ECP_0991 362663.ECP_0578 283
362663.ECP_0991 362663.ECP_1521 350
362663.ECP_0991 362663.ECP_0123 526
362663.ECP_0991 362663.ECP_0601 532
362663.ECP_0991 362663.ECP_2549 195
362663.ECP_0991 362663.ECP_0738 564
362663.ECP_0991 362663.ECP_0678 171
362663.ECP_0991 362663.ECP_2165 181
362663.ECP_0991 362663.ECP_1902 971
362663.ECP_0991 362663.ECP_3336 570
362663.ECP_0991 362663.ECP_4563 226
362663.ECP_0991 362663.ECP_3363 171
362663.ECP_0991 362663.ECP_3380 181
362663.ECP_0991 362663.ECP_1421 283
362663.ECP_0991 362663.ECP_0650 323
362663.ECP_0991 362663.ECP_1655 173
362663.ECP_0991 362663.ECP_1708 166
362663.ECP_0991 362663.ECP_2243 290
362663.ECP_0991 362663.ECP_3625 173
362663.ECP_0991 362663.ECP_0579 283
362663.ECP_0991 362663.ECP_0993 995
362663.ECP_0991 362663.ECP_3629 570
362663.ECP_0991 362663.ECP_4562 971
362663.ECP_0991 362663.ECP_1032 491
362663.ECP_0991 362663.ECP_0372 526
362663.ECP_0991 362663.ECP_4291 181
362663.ECP_0991 362663.ECP_0122 564
362663.ECP_0991 362663.ECP_1710 199
362663.ECP_0991 362663.ECP_0391 173
362663.ECP_0991 362663.ECP_3595 491
362663.ECP_0991 362663.ECP_2531 199
362663.ECP_0991 362663.ECP_4785 226
362663.ECP_0991 362663.ECP_3875 491
362663.ECP_0991 362663.ECP_4697 491
362663.ECP_0991 362663.ECP_1733 205
362663.ECP_0991 362663.ECP_3295 320
362663.ECP_0991 362663.ECP_1827 971
362663.ECP_0991 362663.ECP_3728 320
362663.ECP_0991 362663.ECP_4177 526
362663.ECP_0991 362663.ECP_2975 451
362663.ECP_0991 362663.ECP_0206 481
362663.ECP_0991 362663.ECP_2118 226
362663.ECP_0991 362663.ECP_4571 707
362663.ECP_0991 362663.ECP_0999 181
362663.ECP_0991 362663.ECP_0878 171
362663.ECP_0991 362663.ECP_4122 971
362663.ECP_0991 362663.ECP_1486 350
362663.ECP_0991 362663.ECP_1830 810
362663.ECP_0991 362663.ECP_4355 393
362663.ECP_0991 362663.ECP_4161 229
362663.ECP_0991 362663.ECP_2394 491
362663.ECP_0991 362663.ECP_2217 173
362663.ECP_0991 362663.ECP_0248 224
362663.ECP_0991 362663.ECP_3490 343
362663.ECP_0991 362663.ECP_3620 491
362663.ECP_0991 362663.ECP_4079 451
362663.ECP_0991 362663.ECP_0847 173
362663.ECP_0991 362663.ECP_1200 173
362663.ECP_0991 362663.ECP_4456 991
362663.ECP_0991 362663.ECP_1943 288
362663.ECP_0992 362663.ECP_2652 194
362663.ECP_0992 362663.ECP_2395 270
362663.ECP_0992 362663.ECP_2976 326
362663.ECP_0992 362663.ECP_0991 861
362663.ECP_0992 362663.ECP_2767 271
362663.ECP_0992 362663.ECP_0993 364
362663.ECP_0992 362663.ECP_4787 250
362663.ECP_0992 362663.ECP_3578 293
362663.ECP_0992 362663.ECP_3298 217
362663.ECP_0993 362663.ECP_1124 217
362663.ECP_0993 362663.ECP_1873 160
362663.ECP_0993 362663.ECP_0601 226
362663.ECP_0993 362663.ECP_4563 214
362663.ECP_0993 362663.ECP_1553 214
362663.ECP_0993 362663.ECP_2259 425
362663.ECP_0993 362663.ECP_0992 364
362663.ECP_0993 362663.ECP_4216 155
362663.ECP_0993 362663.ECP_2107 417
362663.ECP_0993 362663.ECP_1880 158
362663.ECP_0993 362663.ECP_0991 995
362663.ECP_0993 362663.ECP_2558 214
362663.ECP_0993 362663.ECP_0459 238
362663.ECP_0993 362663.ECP_1741 293
362663.ECP_0993 362663.ECP_1485 380
362663.ECP_0993 362663.ECP_3298 965
362663.ECP_0993 362663.ECP_2260 159
362663.ECP_0993 362663.ECP_4121 224
362663.ECP_0993 362663.ECP_4564 214
362663.ECP_0993 362663.ECP_4282 155
362663.ECP_0993 362663.ECP_2395 973
362663.ECP_0993 362663.ECP_1826 260
362663.ECP_0993 362663.ECP_0498 162
362663.ECP_0993 362663.ECP_2767 460
362663.ECP_0993 362663.ECP_1832 866
362663.ECP_0993 362663.ECP_1879 344
362663.ECP_0993 362663.ECP_2261 388
362663.ECP_0993 362663.ECP_4785 245
362663.ECP_0993 362663.ECP_2118 214
362663.ECP_0993 362663.ECP_4571 352
362663.ECP_0993 362663.ECP_4355 243
362663.ECP_0993 362663.ECP_3490 218
362663.ECP_0993 362663.ECP_3113 243
362663.ECP_0993 362663.ECP_1270 152
362663.ECP_0993 362663.ECP_1901 214
362663.ECP_0994 362663.ECP_2261 187
362663.ECP_0994 362663.ECP_1475 258
362663.ECP_0994 362663.ECP_0995 226
362663.ECP_0994 362663.ECP_2382 162
362663.ECP_0994 362663.ECP_0991 290
362663.ECP_0994 362663.ECP_3654 226
362663.ECP_0994 362663.ECP_4303 372
362663.ECP_0994 362663.ECP_4304 344
362663.ECP_0994 362663.ECP_2247 240
362663.ECP_0994 362663.ECP_2395 290
362663.ECP_0994 362663.ECP_0909 203
362663.ECP_0994 362663.ECP_0908 226
362663.ECP_0994 362663.ECP_3298 219
362663.ECP_0994 362663.ECP_2246 228
362663.ECP_0995 362663.ECP_2244 357
362663.ECP_0995 362663.ECP_3082 653
362663.ECP_0995 362663.ECP_0994 226
362663.ECP_0995 362663.ECP_4103 288
362663.ECP_0995 362663.ECP_1477 577
362663.ECP_0995 362663.ECP_1469 320
362663.ECP_0995 362663.ECP_4305 698
362663.ECP_0995 362663.ECP_4104 577
362663.ECP_0995 362663.ECP_0996 930
362663.ECP_0995 362663.ECP_4051 842
362663.ECP_0995 362663.ECP_0500 278
362663.ECP_0995 362663.ECP_2246 684
362663.ECP_0995 362663.ECP_1818 401
362663.ECP_0995 362663.ECP_1801 295
362663.ECP_0995 362663.ECP_1275 320
362663.ECP_0995 362663.ECP_0910 761
362663.ECP_0995 362663.ECP_0657 714
362663.ECP_0995 362663.ECP_2249 183
362663.ECP_0995 362663.ECP_0909 921
362663.ECP_0995 362663.ECP_4105 653
362663.ECP_0995 362663.ECP_1621 653
362663.ECP_0995 362663.ECP_4052 625
362663.ECP_0995 362663.ECP_1027 169
362663.ECP_0995 362663.ECP_1476 653
362663.ECP_0995 362663.ECP_1535 515
362663.ECP_0995 362663.ECP_3081 535
362663.ECP_0995 362663.ECP_1475 540
362663.ECP_0995 362663.ECP_2243 194
362663.ECP_0995 362663.ECP_2248 410
362663.ECP_0995 362663.ECP_0442 527
362663.ECP_0995 362663.ECP_1618 681
362663.ECP_0996 362663.ECP_1475 264
362663.ECP_0996 362663.ECP_3654 603
362663.ECP_0996 362663.ECP_1497 169
362663.ECP_0996 362663.ECP_2247 330
362663.ECP_0996 362663.ECP_1474 169
362663.ECP_0996 362663.ECP_0908 768
362663.ECP_0996 362663.ECP_1026 321
362663.ECP_0996 362663.ECP_0995 930
362663.ECP_0999 362663.ECP_3747 198
362663.ECP_0999 362663.ECP_0991 181
362663.ECP_0999 362663.ECP_2107 296
362663.ECP_0999 362663.ECP_3383 198
362663.ECP_0999 362663.ECP_4201 198
362663.ECP_0999 362663.ECP_2531 160
362663.ECP_0999 362663.ECP_2395 181
362663.ECP_0999 362663.ECP_1000 874
362663.ECP_0999 362663.ECP_2109 160
362663.ECP_0999 362663.ECP_4200 198
362663.ECP_0999 362663.ECP_0014 472
362663.ECP_0999 362663.ECP_0015 506
362663.ECP_0999 362663.ECP_3298 181
362663.ECP_0999 362663.ECP_1710 160
362663.ECP_0999 362663.ECP_4081 189
362663.ECP_1000 362663.ECP_0484 171
362663.ECP_1000 362663.ECP_2583 221
362663.ECP_1000 362663.ECP_3386 546
362663.ECP_1000 362663.ECP_1708 160
362663.ECP_1000 362663.ECP_2722 263
362663.ECP_1000 362663.ECP_3380 321
362663.ECP_1000 362663.ECP_2165 321
362663.ECP_1000 362663.ECP_3060 218
362663.ECP_1000 362663.ECP_2038 490
362663.ECP_1000 362663.ECP_1694 290
362663.ECP_1000 362663.ECP_3749 221
362663.ECP_1000 362663.ECP_0897 672
362663.ECP_1000 362663.ECP_2772 224
362663.ECP_1000 362663.ECP_3554 263
362663.ECP_1000 362663.ECP_1199 321
362663.ECP_1000 362663.ECP_0015 465
362663.ECP_1000 362663.ECP_0552 321
362663.ECP_1000 362663.ECP_3454 651
362663.ECP_1000 362663.ECP_3314 265
362663.ECP_1000 362663.ECP_3450 332
362663.ECP_1000 362663.ECP_3431 622
362663.ECP_1000 362663.ECP_2597 224
362663.ECP_1000 362663.ECP_2595 675
362663.ECP_1000 362663.ECP_0185 428
362663.ECP_1000 362663.ECP_1682 152
362663.ECP_1000 362663.ECP_0497 237
362663.ECP_1000 362663.ECP_3062 237
362663.ECP_1000 362663.ECP_1418 181
362663.ECP_1000 362663.ECP_0058 331
362663.ECP_1000 362663.ECP_2550 629
362663.ECP_1000 362663.ECP_0999 874
362663.ECP_1000 362663.ECP_1114 245
362663.ECP_1000 362663.ECP_3616 214
362663.ECP_1000 362663.ECP_4268 238
362663.ECP_1000 362663.ECP_2534 214
362663.ECP_1000 362663.ECP_3385 534
362663.ECP_1000 362663.ECP_1748 218
362663.ECP_1000 362663.ECP_3163 163
362663.ECP_1000 362663.ECP_3907 282
362663.ECP_1000 362663.ECP_1086 237
362663.ECP_1000 362663.ECP_2531 688
362663.ECP_1000 362663.ECP_0037 218
362663.ECP_1000 362663.ECP_1710 686
362663.ECP_1000 362663.ECP_4291 321
362663.ECP_1000 362663.ECP_1023 629
362663.ECP_1000 362663.ECP_4387 333
362663.ECP_1000 362663.ECP_1078 224
362663.ECP_1000 362663.ECP_2727 282
362663.ECP_1000 362663.ECP_4196 224
362663.ECP_1000 362663.ECP_3388 237
362663.ECP_1000 362663.ECP_1976 237
362663.ECP_1000 362663.ECP_4352 490
362663.ECP_1000 362663.ECP_1648 218
362663.ECP_1000 362663.ECP_3408 224
362663.ECP_1000 362663.ECP_3631 221
362663.ECP_1000 362663.ECP_2614 636
362663.ECP_1000 362663.ECP_0014 909
362663.ECP_1000 362663.ECP_4247 428
362663.ECP_1000 362663.ECP_2235 586
362663.ECP_1000 362663.ECP_0953 288
362663.ECP_1000 362663.ECP_2806 607
362663.ECP_1000 362663.ECP_0586 651
362663.ECP_1000 362663.ECP_3430 220
362663.ECP_1000 362663.ECP_1900 171
362663.ECP_1000 362663.ECP_0500 256
362663.ECP_1000 362663.ECP_2532 198
362663.ECP_1000 362663.ECP_0534 717
362663.ECP_1000 362663.ECP_4075 282
362663.ECP_1000 362663.ECP_2659 364
362663.ECP_1000 362663.ECP_0973 274
362663.ECP_1000 362663.ECP_0059 224
362663.ECP_1000 362663.ECP_3389 224
362663.ECP_1000 362663.ECP_0158 181
362663.ECP_1000 362663.ECP_3407 556
362663.ECP_1000 362663.ECP_1709 160
362663.ECP_1000 362663.ECP_0741 629
362663.ECP_1000 362663.ECP_2849 218
362663.ECP_1000 362663.ECP_3630 667
362663.ECP_1000 362663.ECP_2304 218
362663.ECP_1000 362663.ECP_2324 187
362663.ECP_1000 362663.ECP_4425 221
362663.ECP_1000 362663.ECP_0229 607
362663.ECP_1000 362663.ECP_3273 282
362663.ECP_1000 362663.ECP_2109 717
362663.ECP_1000 362663.ECP_4386 388
362663.ECP_1000 362663.ECP_3241 171
362663.ECP_1000 362663.ECP_3157 224
362663.ECP_1000 362663.ECP_1489 214
362663.ECP_1003 362663.ECP_4779 483
362663.ECP_1009 362663.ECP_4128 181
362663.ECP_1009 362663.ECP_2477 187
362663.ECP_1009 362663.ECP_4029 187
362663.ECP_1009 362663.ECP_2929 187
362663.ECP_1010 362663.ECP_2743 152
362663.ECP_1010 362663.ECP_4765 218
362663.ECP_1010 362663.ECP_1644 152
362663.ECP_1010 362663.ECP_0042 152
362663.ECP_1010 362663.ECP_1678 153
362663.ECP_1010 362663.ECP_4386 218
362663.ECP_1010 362663.ECP_0041 152
362663.ECP_1010 362663.ECP_4472 185
362663.ECP_1010 362663.ECP_1645 152
362663.ECP_1010 362663.ECP_2744 152
362663.ECP_1011 362663.ECP_2448 179
362663.ECP_1011 362663.ECP_0949 169
362663.ECP_1011 362663.ECP_3913 169
362663.ECP_1011 362663.ECP_0948 183
362663.ECP_1012 362663.ECP_0097 195
362663.ECP_1013 362663.ECP_0445 256
362663.ECP_1013 362663.ECP_2584 293
362663.ECP_1013 362663.ECP_3973 293
362663.ECP_1013 362663.ECP_3630 293
362663.ECP_1013 362663.ECP_0558 293
362663.ECP_1013 362663.ECP_2931 235
362663.ECP_1013 362663.ECP_0896 371
362663.ECP_1013 362663.ECP_2336 188
362663.ECP_1015 362663.ECP_3606 284
362663.ECP_1015 362663.ECP_4354 194
362663.ECP_1016 362663.ECP_0130 798
362663.ECP_1016 362663.ECP_3106 798
362663.ECP_1016 362663.ECP_2452 242
362663.ECP_1016 362663.ECP_1018 248
362663.ECP_1018 362663.ECP_1016 248
362663.ECP_1019 362663.ECP_4138 164
362663.ECP_1019 362663.ECP_0682 242
362663.ECP_1020 362663.ECP_1021 515
362663.ECP_1021 362663.ECP_0138 194
362663.ECP_1021 362663.ECP_1020 515
362663.ECP_1021 362663.ECP_1741 223
362663.ECP_1021 362663.ECP_1022 194
362663.ECP_1021 362663.ECP_1485 223
362663.ECP_1022 362663.ECP_1021 194
362663.ECP_1022 362663.ECP_1023 264
362663.ECP_1023 362663.ECP_4352 196
362663.ECP_1023 362663.ECP_3969 502
362663.ECP_1023 362663.ECP_1183 546
362663.ECP_1023 362663.ECP_2806 544
362663.ECP_1023 362663.ECP_0586 165
362663.ECP_1023 362663.ECP_0534 648
362663.ECP_1023 362663.ECP_0014 643
362663.ECP_1023 362663.ECP_0510 238
362663.ECP_1023 362663.ECP_0813 251
362663.ECP_1023 362663.ECP_1939 238
362663.ECP_1023 362663.ECP_2712 633
362663.ECP_1023 362663.ECP_1334 187
362663.ECP_1023 362663.ECP_2203 328
362663.ECP_1023 362663.ECP_4683 188
362663.ECP_1023 362663.ECP_4387 583
362663.ECP_1023 362663.ECP_2595 544
362663.ECP_1023 362663.ECP_4217 167
362663.ECP_1023 362663.ECP_2109 643
362663.ECP_1023 362663.ECP_3162 188
362663.ECP_1023 362663.ECP_3747 284
362663.ECP_1023 362663.ECP_3630 208
362663.ECP_1023 362663.ECP_3383 354
362663.ECP_1023 362663.ECP_4281 167
362663.ECP_1023 362663.ECP_0229 544
362663.ECP_1023 362663.ECP_2657 769
362663.ECP_1023 362663.ECP_0968 502
362663.ECP_1023 362663.ECP_0305 238
362663.ECP_1023 362663.ECP_0015 629
362663.ECP_1023 362663.ECP_3931 481
362663.ECP_1023 362663.ECP_2555 321
362663.ECP_1023 362663.ECP_1751 251
362663.ECP_1023 362663.ECP_2225 260
362663.ECP_1023 362663.ECP_2556 167
362663.ECP_1023 362663.ECP_0897 544
362663.ECP_1023 362663.ECP_1000 629
362663.ECP_1023 362663.ECP_4461 303
362663.ECP_1023 362663.ECP_2761 275
362663.ECP_1023 362663.ECP_2263 167
362663.ECP_1023 362663.ECP_4201 448
362663.ECP_1023 362663.ECP_2127 464
362663.ECP_1023 362663.ECP_0434 328
362663.ECP_1023 362663.ECP_3448 328
362663.ECP_1023 362663.ECP_3437 303
362663.ECP_1023 362663.ECP_4007 502
362663.ECP_1023 362663.ECP_2038 196
362663.ECP_1023 362663.ECP_0051 633
362663.ECP_1023 362663.ECP_1782 633
362663.ECP_1023 362663.ECP_1022 264
362663.ECP_1023 362663.ECP_1710 643
362663.ECP_1023 362663.ECP_0511 321
362663.ECP_1023 362663.ECP_0138 264
362663.ECP_1023 362663.ECP_1032 304
362663.ECP_1023 362663.ECP_1388 328
362663.ECP_1023 362663.ECP_0061 244
362663.ECP_1023 362663.ECP_0060 168
362663.ECP_1023 362663.ECP_0395 549
362663.ECP_1023 362663.ECP_4200 288
362663.ECP_1023 362663.ECP_2975 167
362663.ECP_1023 362663.ECP_0925 238
362663.ECP_1023 362663.ECP_3493 328
362663.ECP_1023 362663.ECP_2531 643
362663.ECP_1023 362663.ECP_3384 152
362663.ECP_1023 362663.ECP_1830 188
362663.ECP_1023 362663.ECP_0509 238
362663.ECP_1023 362663.ECP_4571 232
362663.ECP_1023 362663.ECP_4079 167
362663.ECP_1023 362663.ECP_3454 165
362663.ECP_1023 362663.ECP_0812 177
362663.ECP_1023 362663.ECP_1940 238
362663.ECP_1024 362663.ECP_1485 547
362663.ECP_1024 362663.ECP_2217 242
362663.ECP_1024 362663.ECP_0991 350
362663.ECP_1024 362663.ECP_1741 473
362663.ECP_1024 362663.ECP_0847 340
362663.ECP_1024 362663.ECP_1073 284
362663.ECP_1024 362663.ECP_2107 553
362663.ECP_1024 362663.ECP_1733 434
362663.ECP_1024 362663.ECP_1734 227
362663.ECP_1024 362663.ECP_2259 272
362663.ECP_1024 362663.ECP_0391 242
362663.ECP_1024 362663.ECP_2261 231
362663.ECP_1024 362663.ECP_3336 507
362663.ECP_1024 362663.ECP_1832 264
362663.ECP_1024 362663.ECP_2767 621
362663.ECP_1024 362663.ECP_1339 269
362663.ECP_1024 362663.ECP_3625 254
362663.ECP_1024 362663.ECP_3298 473
362663.ECP_1024 362663.ECP_3629 476
362663.ECP_1024 362663.ECP_1506 239
362663.ECP_1024 362663.ECP_0848 434
362663.ECP_1024 362663.ECP_1205 242
362663.ECP_1024 362663.ECP_2395 563
362663.ECP_1024 362663.ECP_2605 179
362663.ECP_1025 362663.ECP_1592 169
362663.ECP_1025 362663.ECP_2476 155
362663.ECP_1025 362663.ECP_2106 352
362663.ECP_1025 362663.ECP_0784 150
362663.ECP_1025 362663.ECP_0838 155
362663.ECP_1025 362663.ECP_2477 161
362663.ECP_1025 362663.ECP_1555 241
362663.ECP_1025 362663.ECP_4509 155
362663.ECP_1025 362663.ECP_4422 273
362663.ECP_1025 362663.ECP_0060 542
362663.ECP_1025 362663.ECP_2625 194
362663.ECP_1025 362663.ECP_1329 150
362663.ECP_1025 362663.ECP_4160 155
362663.ECP_1025 362663.ECP_0009 155
362663.ECP_1025 362663.ECP_0918 182
362663.ECP_1025 362663.ECP_2528 155
362663.ECP_1025 362663.ECP_0939 185
362663.ECP_1025 362663.ECP_1287 248
362663.ECP_1025 362663.ECP_2761 219
362663.ECP_1025 362663.ECP_0709 197
362663.ECP_1025 362663.ECP_4128 214
362663.ECP_1025 362663.ECP_2929 161
362663.ECP_1025 362663.ECP_4273 185
362663.ECP_1025 362663.ECP_4029 161
362663.ECP_1025 362663.ECP_2523 237
362663.ECP_1026 362663.ECP_1535 260
362663.ECP_1026 362663.ECP_1027 564
362663.ECP_1026 362663.ECP_0996 321
362663.ECP_1027 362663.ECP_2247 169
362663.ECP_1027 362663.ECP_1497 169
362663.ECP_1027 362663.ECP_0908 169
362663.ECP_1027 362663.ECP_1474 169
362663.ECP_1027 362663.ECP_0995 169
362663.ECP_1027 362663.ECP_3654 169
362663.ECP_1027 362663.ECP_1475 264
362663.ECP_1027 362663.ECP_1026 564
362663.ECP_1029 362663.ECP_1031 944
362663.ECP_1029 362663.ECP_1035 635
362663.ECP_1029 362663.ECP_1030 929
362663.ECP_1029 362663.ECP_3022 214
362663.ECP_1029 362663.ECP_1034 751
362663.ECP_1029 362663.ECP_2102 261
362663.ECP_1030 362663.ECP_1034 857
362663.ECP_1030 362663.ECP_1029 929
362663.ECP_1030 362663.ECP_1031 574
362663.ECP_1030 362663.ECP_1035 616
362663.ECP_1031 362663.ECP_1030 574
362663.ECP_1031 362663.ECP_1035 870
362663.ECP_1031 362663.ECP_1036 666
362663.ECP_1031 362663.ECP_1029 944
362663.ECP_1032 362663.ECP_2107 632
362663.ECP_1032 362663.ECP_2605 222
362663.ECP_1032 362663.ECP_3113 197
362663.ECP_1032 362663.ECP_3491 690
362663.ECP_1032 362663.ECP_4121 236
362663.ECP_1032 362663.ECP_3298 471
362663.ECP_1032 362663.ECP_1552 215
362663.ECP_1032 362663.ECP_1901 152
362663.ECP_1032 362663.ECP_0444 459
362663.ECP_1032 362663.ECP_0357 155
362663.ECP_1032 362663.ECP_2395 888
362663.ECP_1032 362663.ECP_4564 152
362663.ECP_1032 362663.ECP_1124 152
362663.ECP_1032 362663.ECP_3448 166
362663.ECP_1032 362663.ECP_4563 152
362663.ECP_1032 362663.ECP_2261 359
362663.ECP_1032 362663.ECP_1394 459
362663.ECP_1032 362663.ECP_2767 664
362663.ECP_1032 362663.ECP_1832 275
362663.ECP_1032 362663.ECP_1889 459
